energy,attenlength
1052.5,321466.0894676947
1067.1,308738.7614570475
1082.0,296468.164875974
1097.1,285180.34191641404
1112.4,274763.0655699032
1127.9,264841.9038612237
1143.6,255308.71125223773
1159.6,246108.7864617317
1175.7,237240.3259365547
1192.1,228701.59838400685
1208.7,220438.68963377067
1225.6,212502.42866074303
1242.7,204787.10178293215
1260.0,197395.73272156806
1277.6,190274.96434632767
1295.4,183371.78934689687
1313.4,176685.3214484271
1331.7,170266.43662441862
1350.3,164062.44873275142
1369.1,158124.1750910659
1388.2,152347.5840810001
1407.6,146783.6133049914
1427.2,141431.56100257553
1447.1,136239.3724656862
1467.2,131257.88572190475
1487.7,126435.19613441883
1508.4,121719.6169475869
1529.5,117110.84972246288
1550.8,112710.88218246504
1572.4,108416.97415579438
1594.3,104330.9634069241
1616.5,100401.32917095996
1639.1,96576.73018489209
1661.9,92907.86543195289
1685.1,89394.39443645735
1708.6,86035.99168860467
1732.4,82730.6771311304
1756.5,79529.14841888395
1781.0,76431.20768850949
1805.8,73385.92423075494
1831.0,70494.62189750824
1856.5,771470.1171689777
1882.4,746329.8141981348
1908.7,722008.4468686074
1935.3,698494.7217978771
1962.2,675720.6047172975
1989.6,653676.526612607
2017.3,632296.5797837051
2045.4,611516.1819406915
2074.0,591440.8160591446
2102.9,571669.9522846733
2132.2,552423.6658763597
2161.9,533751.8497344028
2192.0,515648.3625323341
2222.6,498052.0628307245
2253.6,481012.88936530356
2285.0,464470.5043752989
2316.8,448474.87309415784
2349.1,432966.41292547714
2381.9,417940.7600336622
2415.1,403339.5153372741
2448.8,389267.19602432055
2482.9,375611.6629860818
2517.5,362369.61661803635
2552.6,349591.49781726155
2588.2,337220.3574855047
2624.2,325253.2612716382
2660.8,313634.14954152505
2697.9,302466.9021448124
2735.5,291642.549500632
2773.7,281158.92235025804
2812.3,271066.71528327564
2851.5,261258.24099371387
2891.3,251837.0368189331
2931.6,242695.97832330945
2972.4,233885.9577946445
3013.9,225352.9518445087
3055.9,217147.7896366799
3098.5,209216.74629405566
3141.7,201558.54035933406
3185.5,194119.9592879104
3229.9,187003.85127241403
3274.9,180105.18789606722
3320.5,173474.84898443427
3366.8,167008.38317015173
3413.8,160860.068531755
3461.4,154874.02149715263
3509.6,149101.18206239675
3558.5,143540.8206837187
3608.1,138192.23651978362
3658.4,133054.7571314571
3709.4,128076.44062277753
3761.1,123256.81720564669
3813.6,118646.63349618357
3866.7,114143.00470010669
3920.6,109847.86714498611
3975.3,105709.61876713982
4030.7,101727.87332715097
4086.9,97902.25989471731
4143.8,94181.471731473
4201.6,90616.19129844647
4260.2,87155.20864839734
4319.5,83849.15437986646
4379.8,80646.90964941823
4440.8,77599.05829018404
4502.7,74654.5669421047
4565.5,71762.5311220024
4629.1,69024.24988279468
4693.6,66388.80306287187
4759.1,63856.02891190014
4825.4,61375.15437806289
4892.7,59047.28979748802
4960.9,56771.079193525125
5030.0,54597.00124638628
5100.1,52474.3954632579
5171.2,50453.703550853796
5243.3,48534.80235071168
5316.4,46616.63730442047
5390.5,44850.5571262036
5465.7,43085.100535571255
5541.8,41421.09793848756
5619.1,39808.04835346786
5697.4,38296.28683744626
5776.8,36784.98226784505
5857.4,35374.843359816965
5939.0,33965.10203800914
6021.8,32656.4123309324
6105.7,31398.379786542246
6190.9,30140.663691708985
6277.2,28983.844235887267
6364.7,27877.5716659282
6453.4,26771.54380962594
6543.3,25716.018128787062
6634.5,24710.96269659613
6727.0,23756.347127433357
6820.8,22801.91378165801
6915.9,21897.881796552272
7012.3,21044.22387027341
7110.0,20240.914232846706
7209.1,19437.733635962537
7309.6,18684.86898454697
7411.5,17932.117677101753
7514.8,17229.65202149904
7619.6,16527.285043632408
7725.8,15875.17546823481
7833.5,15273.30364614356
7942.7,14671.504265270381
8053.4,14069.777308179333
8165.7,13518.257871574117
8279.5,13016.92935057464
8394.9,12465.52602856243
8511.9,11964.303044061595
8630.6,11513.245313377789
8750.9,11062.228269639416
8872.9,10611.251905505826
8996.5,10210.418171124244
9121.9,9809.616567702813
9249.1,9408.847090091798
9378.0,9008.109733141044
9508.7,8657.490890740713
9641.3,8306.896633330927
9775.7,8006.406834869396
9912.0,7655.858226153318
10050.0,7355.407550048591
10190.0,7054.974926981369
10332.0,6804.628196707739
10476.0,6504.228665240348
10622.0,6253.909508263013
10770.0,6003.602882594386
10921.0,5753.30878697986
11073.0,5553.082531284552
11227.0,5302.810986605851
11384.0,5102.60277003425
11542.0,4902.402569807103
11703.0,4702.210385283597
11866.0,4502.026215820776
12032.0,4351.893348221808
12199.0,4151.7232035719435
12369.0,4001.6008538457763
12542.0,3851.4830113282596
12717.0,3701.369675748202
12894.0,3551.2608468361022
13074.0,3401.1565243208156
13256.0,3251.05670793178
13441.0,3150.992666942109
13628.0,3000.900360162303
13818.0,2900.8413253283134
14011.0,2750.7565274063522
14206.0,2650.7024982271587
14404.0,2550.650471169652
14605.0,2450.6004461537073
14808.0,2350.5524230992046
15015.0,2250.5064019260285
15224.0,2150.462382554624
15436.0,2050.4203649037745
15652.0,2000.4001066984567
15870.0,1900.3610914796404
16091.0,1850.342334445008
16315.0,1750.3063214769036
16543.0,1700.2890655234103
16773.0,1600.2560546263787
17007.0,1550.240299663376
17244.0,1500.2250450099623
17484.0,1450.2102906572388
17728.0,1400.1960365940863
17975.0,1300.1690292992369
18226.0,1250.1562760464128
18480.0,1200.1440230442379
18738.0,1150.1322702815942
18999.0,1100.1210177495852
19264.0,1100.1210177495852
19532.0,1050.110265437649
19804.0,1000.1000133352236
20080.0,950.0902614334135
20360.0,900.0810097211023
20644.0,900.0810097211023
20932.0,850.0722581893949
21224.0,800.0640068277311
21520.0,800.0640068277311
21820.0,750.0562556255503
22124.0,700.0490045739585
22432.0,700.0490045739585
22745.0,650.0422536618411
23062.0,650.0422536618411
23383.0,600.0360028803042
23709.0,600.0360028803042
24040.0,550.0302522187889
24375.0,550.0302522187889
