energy,attenlength
272.32,8984483.80
274.21,8829320.41
276.11,8676789.59
278.03,8526893.82
279.96,8379560.58
281.90,8234858.15
283.86,8092579.10
285.83,7952792.23
287.81,7815430.79
289.81,7680373.57
291.82,7547739.45
293.84,7417352.15
295.88,7289214.15
297.93,7163272.47
300.00,7039526.94
302.08,6917925.73
304.18,6798420.05
306.29,6680963.93
308.41,6565557.09
310.55,6452154.05
312.71,6340711.81
314.88,6231150.77
317.06,6123511.22
319.26,6017716.16
321.48,5913765.47
323.71,5811588.31
325.96,5711217.97
328.22,5612554.16
330.49,5515628.53
332.79,5420318.61
335.10,5326685.63
337.42,5234670.27
339.76,5144218.16
342.12,5055356.15
344.49,4968030.72
346.88,4882216.53
349.29,4797888.93
351.72,4715001.72
354.16,4633555.28
356.61,4553505.97
359.09,4477378.05
361.58,4405829.79
364.09,4335629.77
366.61,4268105.30
369.16,4201645.36
371.72,4136213.79
374.30,4071810.45
376.90,4008401.61
379.51,3945987.33
382.14,3884551.14
384.80,3824047.91
387.47,3764493.30
390.15,3705886.06
392.86,3648183.75
395.59,3591373.52
398.33,3535455.31
401.10,3480403.59
403.88,3426206.37
406.68,3372851.91
409.50,3320328.71
412.34,3268625.44
415.21,3217720.63
418.09,3167624.35
420.99,3118295.66
423.91,3069744.60
426.85,3021942.32
429.81,2974888.96
432.79,2928557.83
435.80,2881271.45
438.82,2833575.60
441.87,2786345.79
444.93,2739013.13
448.02,2692493.06
451.13,2646819.05
454.26,2601923.86
457.41,2557786.80
460.58,2514394.91
463.78,2471735.70
467.00,2429785.28
470.24,2388550.25
473.50,2348024.14
476.79,2308189.46
480.09,2269014.34
483.42,2230504.83
486.78,2192626.64
490.16,2155339.64
493.56,2118684.47
496.98,2082331.21
500.43,2046601.11
503.90,2011109.37
507.40,1976069.79
510.92,1941559.07
514.47,1907523.27
518.03,1874084.04
521.63,1841305.26
525.25,1809096.86
528.89,1777550.25
532.56,1746587.60
536.26,1716184.30
539.98,1686346.33
543.73,1657028.29
547.50,1628229.59
551.30,1599930.88
555.12,1571687.00
558.97,1543819.78
562.85,1516309.42
566.76,1489127.88
570.69,1462388.11
574.65,1435851.19
578.64,1409798.95
582.65,1384167.34
586.70,1358989.24
590.77,1334245.96
594.87,1309932.70
598.99,1286062.81
603.15,1262631.05
607.33,1239624.34
611.55,1217036.56
615.79,1194860.19
620.06,1173068.69
624.37,1151658.45
628.70,1130551.57
633.06,1109528.18
637.45,1088895.23
641.88,1068139.85
646.33,1047723.82
650.82,1027487.34
655.33,1007492.72
659.88,987888.49
664.46,968673.11
669.07,949839.00
673.71,932427.01
678.38,915407.22
683.09,899223.97
687.83,883657.64
692.60,868417.40
697.41,853584.63
702.25,839010.64
707.12,824042.26
712.03,809323.41
716.97,794577.80
721.94,779952.11
726.95,765591.27
732.00,751501.12
737.08,737669.85
742.19,724086.75
747.34,710757.31
752.53,697666.31
757.75,684818.93
763.00,672196.60
768.30,659791.64
773.63,647609.67
779.00,635574.37
784.40,623764.17
789.85,612129.97
795.33,600694.40
800.84,589473.19
806.40,578459.33
812.00,567652.87
817.63,557041.00
823.30,546630.30
829.02,536411.62
834.77,526385.05
840.56,516544.93
846.39,506888.62
852.27,497410.98
858.18,488097.74
864.13,478959.32
870.13,469982.23
876.17,461169.53
882.25,452523.50
888.37,444039.87
894.53,435714.66
900.74,427547.76
906.99,419533.48
913.28,411671.72
919.62,403955.53
926.00,396372.40
932.43,388917.41
938.90,381605.11
945.41,374429.46
951.97,367390.43
958.57,360483.77
965.23,353706.85
971.92,347054.72
978.67,340525.23
985.46,334122.98
992.30,327853.80
999.18,321702.71
1006.11,315685.46
1013.09,309781.67
1020.12,304086.31
1027.20,298559.15
1034.33,293103.85
1041.51,287675.41
1048.73,282347.89
1056.01,277013.68
1063.34,271776.80
1070.71,266637.51
1078.14,261593.84
1085.63,256646.50
1093.16,251792.13
1100.74,247030.08
1108.38,242357.26
1116.07,237773.11
1123.82,233275.87
1131.61,228864.90
1139.46,224536.95
1147.37,220291.49
1155.33,216126.03
1163.35,212037.81
1171.42,208026.93
1179.55,204092.46
1187.73,200232.27
1195.97,196445.13
1204.27,192729.84
1212.63,189084.89
1221.04,185508.45
1229.52,181999.52
1238.05,178574.62
1246.64,175218.80
1255.29,171937.11
1264.00,168729.95
1272.77,165585.94
1281.60,162523.93
1290.49,159518.64
1299.45,156567.78
1308.46,153671.91
1317.54,150829.34
1326.68,148039.59
1335.89,145301.53
1345.16,142613.48
1354.49,139975.45
1363.89,137386.42
1373.35,134845.40
1382.88,132351.46
1392.48,129904.04
1402.14,127501.91
1411.87,125144.39
1421.66,122830.51
1431.53,120558.62
1441.46,118328.63
1451.46,116129.72
1461.53,113963.75
1471.68,111831.55
1481.89,109718.06
1492.17,107644.60
1502.52,105509.49
1512.95,103407.48
1523.45,101338.68
1534.02,99305.85
1544.66,97313.18
1555.38,95360.70
1566.17,1113428.28
1577.04,1095380.23
1587.98,1077624.53
1599.00,1060157.58
1610.09,1042974.73
1621.27,1026072.50
1632.51,1009446.40
1643.84,993088.11
1655.25,976991.84
1666.73,961159.54
1678.30,945581.77
1689.94,930258.52
1701.67,915189.40
1713.48,900357.44
1725.37,885747.44
1737.34,870935.99
1749.39,856377.01
1761.53,841949.28
1773.75,827725.49
1786.06,813689.51
1798.45,799833.63
